time,node
0.004700,0
0.023100,0
0.028400,3
0.031900,4
0.032100,0
0.043800,4
0.051900,3
0.053300,4
0.054000,2
0.057600,2
0.058800,0
0.059100,3
0.062500,2
0.063900,6
0.069100,6
0.079500,2
0.080000,0
0.085600,0
0.087100,1
0.089300,4
0.093300,0
0.095200,1
0.102100,3
0.102800,0
0.162600,0
0.198600,6
0.210900,2
0.215300,2
0.220400,2
0.252300,5
0.252500,6
0.283700,0
0.286900,4
0.292100,0
0.298000,4
0.304900,0
0.307400,4
0.322900,0
0.327900,3
0.340600,0
0.354600,0
0.364700,0
0.368300,6
0.379800,2
0.382800,6
0.387600,6
0.390800,4
0.402200,0
0.411300,0
0.434000,0
0.438500,4
0.439200,6
0.443200,0
0.445500,2
0.452200,4
0.458700,2
0.484600,6
0.498300,6
0.500300,3
0.507100,0
0.507200,3
0.517800,0
0.545700,4
0.550100,0
0.564900,0
0.573400,4
0.573700,0
0.583900,4
0.599700,0
0.605500,0
0.606300,4
0.611900,0
0.614300,3
0.620500,0
0.628100,0
0.628700,1
0.659300,1
0.679100,4
0.695600,0
0.746200,1
0.779500,3
0.781700,6
0.784200,3
0.789000,1
0.789600,0
0.795100,1
0.798800,3
0.801500,0
0.803600,2
0.809000,0
0.850300,6
0.862300,4
0.872000,4
0.878400,0
0.884500,4
0.899500,0
0.905400,4
0.908100,0
0.966600,0
0.980100,0
0.984400,2
0.988400,2
0.989100,0
0.996100,0
1.009100,0
1.028300,0
1.034300,6
1.038500,6
1.038700,0
1.038700,1
1.050000,2
1.055100,6
1.055400,2
1.066000,0
1.070300,6
1.079800,2
1.082700,0
1.086400,2
1.093300,0
1.114200,4
1.116100,1
1.121600,4
1.127400,0
1.127400,4
1.133700,4
1.137100,0
1.140300,4
1.150500,4
1.162200,4
1.168700,3
1.171900,4
1.184700,0
1.239400,4
1.251300,4
1.253700,1
1.273800,0
1.315500,2
1.319700,2
1.322000,6
1.325900,3
1.327300,2
1.339900,3
1.346700,3
1.353000,3
1.373400,3
1.377100,2
1.380900,3
1.437300,0
1.444800,4
1.455500,0
1.468300,6
1.472700,4
1.483900,0
1.484900,2
1.490300,2
1.508200,4
1.521300,4
1.554200,2
1.559900,2
1.600400,4
1.601100,0
1.609600,0
1.611500,4
1.615900,1
1.617500,0
1.617500,6
1.624300,6
1.626000,4
1.638000,4
1.638200,0
1.639800,1
1.646100,1
1.653600,1
1.660600,0
1.669100,0
1.731700,2
1.732900,4
1.739100,2
1.751800,2
1.754400,4
1.766900,4
1.777600,0
1.778500,4
1.785700,0
1.796100,0
1.804900,0
1.811900,0
1.829000,0
1.842700,0
1.844300,3
1.848800,6
1.852000,2
1.853600,6
1.860000,2
1.866800,6
1.870900,1
1.873000,6
1.885100,0
1.910000,0
1.918300,0
1.927800,0
1.937200,0
1.945800,0
1.954400,3
1.955100,0
1.961200,3
1.987800,1
2.000500,3
2.031300,3
2.045100,0
2.053000,3
2.055800,4
2.062300,0
2.068300,4
2.082800,6
2.089400,6
2.092600,2
2.096900,0
2.114800,0
2.121800,0
2.122500,1
2.136800,0
2.144300,0
2.157200,0
2.161500,1
2.169300,1
2.172000,4
2.173300,0
2.185900,4
2.187500,5
2.194600,5
2.201300,5
2.203700,4
2.208100,5
2.213800,5
2.217800,4
2.220000,5
2.227000,5
2.227500,0
2.230400,4
2.240200,5
2.250100,5
2.264000,2
2.268500,2
2.274000,2
2.299700,0
2.309700,6
2.371400,0
2.391600,4
2.393100,0
2.402400,2
2.426900,3
2.436300,0
2.442600,0
2.457600,3
2.461000,6
2.462500,0
2.464200,3
2.467600,6
2.472100,4
2.481600,2
2.482800,0
2.483300,4
2.486500,2
2.488300,2
2.494200,4
2.496400,2
2.497000,0
2.525100,0
2.532400,4
2.544800,4
2.551900,0
2.556000,4
2.559500,0
2.617400,0
2.621900,1
2.691400,4
2.698000,4
2.702100,6
2.707200,2
2.711800,2
2.714300,4
2.718500,0
2.721600,4
2.733700,4
2.742100,4
2.770100,4
2.770200,2
2.774700,2
2.782000,4
2.793800,4
2.804200,4
2.811100,6
2.814500,0
2.820300,0
2.834600,0
2.835200,1
2.843000,0
2.851200,0
2.858200,0
2.879600,0
2.890000,0
2.898200,1
2.901900,6
2.902200,0
2.943900,1
2.951600,3
2.975500,3
2.976800,0
3.002000,4
