dataset,window_start,window_end,duration,top_n,top_m,n_events_total,n_events_selection,n_events_inference,candidate_edges,candidate_edges_original,logL_pairwise_heldout,logL_HTH_heldout,delta_L_heldout,bicdiff_candidate_count,bicdiff_active_count,n_active_edges,main_edge,main_edge_original,main_alpha,main_n_completions,main_C_e,main_min_member_spikes,main_sparse_flag,data_type,source,record_index,spikes_shape,orientation,condition,monkey
ret-1,0.0,20.0,20.0,7,1,2100,1102,998,"(1, 6)","(4, 5)",1848.8001976066644,1856.5914743275016,7.791276720837231,8.676800165362998,8.676800165362998,1,"(1, 6)","(4, 5)",0.3230304081117608,33,3.5667282587785083,31,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,20.0,40.0,20.0,7,1,1839,913,926,"(1, 3)","(4, 6)",1652.7858255851293,1659.0138707695146,6.228045184385337,5.625216134124495,5.625216134124495,1,"(1, 3)","(4, 6)",0.0202422651321143,81,6.8608942457171285,89,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,40.0,60.0,20.0,7,1,1897,922,975,"(0, 4)","(0, 3)",1805.132988974471,1811.1311942728416,5.998205298370976,5.1139731257441055,5.1139731257441055,1,"(0, 4)","(0, 3)",0.0660220228201363,120,7.134055299914861,89,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,60.0,80.0,20.0,7,1,2053,967,1086,"(1, 6)","(4, 5)",2087.9006672958085,2097.132181055252,9.23151375944326,11.472771018392638,11.472771018392638,1,"(1, 6)","(4, 5)",1.0941440551384614,57,4.36476871656593,37,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,80.0,100.0,20.0,7,1,2236,1132,1104,"(3, 4)","(6, 3)",2145.3639149963155,2154.227113923001,8.863198926685982,10.719702626534923,10.719702626534923,1,"(3, 4)","(6, 3)",0.0465890207939884,195,8.483353411945112,114,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,0.0,20.0,20.0,7,2,2100,1102,998,"(4, 5);(5, 6)","(3, 1);(1, 5)",1845.219092273407,1855.0849805462333,9.865888272826396,5.920269993029864,5.920269993029864,2,"(5, 6)","(1, 5)",0.5161940363989637,27,3.0046868388121664,31,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,20.0,40.0,20.0,7,2,1839,913,926,"(0, 1);(0, 2)","(0, 4);(0, 2)",1653.5976220537466,1659.5134137537375,5.915791699990905,-1.8301650693105491,-1.8301650693105491,2,"(0, 1)","(0, 4)",0.0527219644497021,270,8.573985935250743,197,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,40.0,60.0,20.0,7,2,1897,922,975,"(0, 1);(0, 4)","(0, 4);(0, 3)",1805.1720570939224,1811.1173692071325,5.945312113210093,-1.874250715575508,-1.874250715575508,2,"(0, 4)","(0, 3)",0.0612617233797212,120,7.134055299914861,89,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,60.0,80.0,20.0,7,2,2053,967,1086,"(1, 3);(1, 6)","(4, 6);(4, 5)",2086.430893543511,2095.886388627614,9.45549508410295,4.930477167218138,4.930477167218138,2,"(1, 6)","(4, 5)",1.0607480181225446,57,4.36476871656593,37,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
ret-1,80.0,100.0,20.0,7,2,2236,1132,1104,"(0, 4);(1, 4)","(0, 3);(4, 3)",2146.236372307368,2154.309305410416,8.072933103047944,2.132475752421808,2.132475752421808,2,"(0, 4)","(0, 3)",0.0460986361644041,145,7.671701824661062,114,False,continuous spike-time,data\raw\crcns_ret-1\Data\20080516_R1.mat,0.0,"(7, 3)","rows=cells, cols=records",,
