dataset,window_start,window_end,duration,top_n,top_m,n_events_total,n_events_selection,n_events_inference,candidate_edges,candidate_edges_original,logL_pairwise_heldout,logL_HTH_heldout,delta_L_heldout,bicdiff_candidate_count,bicdiff_active_count,n_active_edges,main_edge,main_edge_original,main_alpha,main_n_completions,main_C_e,main_min_member_spikes,main_sparse_flag,data_type,source,condition,monkey
PVC-11 monkey2,0.0,40.0,40.0,10,1,1920,829,1091,"(1, 7)","(9, 60)",1061.9613638093053,1071.468853003453,9.507489194147638,12.020128402462205,12.020128402462205,1,"(1, 7)","(9, 60)",0.019606289797068344,77,8.596839718005215,67,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,0.0,40.0,40.0,10,2,1920,829,1091,"(0, 3);(1, 7)","(28, 74);(9, 60)",1062.67746633256,1073.1368757943383,10.45940946177825,6.929118951890359,6.929118951890359,2,"(0, 3)","(28, 74)",0.2489849526441264,134,10.279158648086488,127,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,0.0,40.0,40.0,10,3,1920,829,1091,"(0, 3);(1, 7);(2, 7)","(28, 74);(9, 60);(62, 60)",1060.7917678447839,1072.6522094545387,11.860441609754844,2.7363332620104757,2.7363332620104757,3,"(0, 3)","(28, 74)",0.32129936117801355,134,10.279158648086488,127,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,40.0,80.0,40.0,10,1,1813,1071,742,"(1, 3)","(9, 74)",502.5876921855097,514.770204971485,12.182512785975291,17.755676328783203,17.755676328783203,1,"(1, 3)","(9, 74)",2.645984144601857,76,6.248532911953579,78,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,40.0,80.0,40.0,10,2,1813,1071,742,"(0, 3);(1, 3)","(28, 74);(9, 74)",499.60882290828374,515.4570697334227,15.848246825138972,18.477795163943185,18.477795163943185,2,"(1, 3)","(9, 74)",2.729023959829265,76,6.248532911953579,78,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,40.0,80.0,40.0,10,3,1813,1071,742,"(0, 3);(1, 3);(3, 9)","(28, 74);(9, 74);(74, 24)",502.34845405446424,526.1932967614074,23.844842706943155,27.861637684384167,27.861637684384167,3,"(3, 9)","(74, 24)",3.800166530620833,35,2.7675540655733646,48,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,80.0,120.0,40.0,10,1,1762,978,784,"(2, 7)","(62, 60)",499.45011805512456,506.5721315703323,7.122013515207755,7.579618010065102,7.579618010065102,1,"(2, 7)","(62, 60)",0.7054800466349583,54,6.547582433214778,57,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,80.0,120.0,40.0,10,2,1762,978,784,"(2, 6);(2, 7)","(62, 67);(62, 60)",500.5297131189177,507.2178864315939,6.688173312676213,0.04752858465161047,0.04752858465161047,2,"(2, 7)","(62, 60)",0.7645881258329719,54,6.547582433214778,57,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,80.0,120.0,40.0,10,3,1762,978,784,"(1, 2);(2, 7);(3, 4)","(9, 62);(62, 60);(74, 8)",499.1047979927491,507.0917610105888,7.986963017839685,-4.019301025371853,-4.019301025371853,3,"(2, 7)","(62, 60)",0.7425347682047717,54,6.547582433214778,57,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,120.0,160.0,40.0,10,1,1842,975,867,"(2, 7)","(62, 60)",639.4115682490749,655.9573405654057,16.54577231633084,26.32650565588114,26.32650565588114,1,"(2, 7)","(62, 60)",2.8109236125815027,81,6.74942266642073,63,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,120.0,160.0,40.0,10,2,1842,975,867,"(2, 7);(3, 9)","(62, 60);(74, 24)",642.6597605164475,659.3833251315367,16.72356461508923,19.91705127661738,19.91705127661738,2,"(2, 7)","(62, 60)",2.662080305024824,81,6.74942266642073,63,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,120.0,160.0,40.0,10,3,1842,975,867,"(1, 2);(2, 7);(3, 9)","(9, 62);(62, 60);(74, 24)",642.4062595988113,670.8801667270168,28.473907128205497,36.65269732606937,36.65269732606937,3,"(1, 2)","(9, 62)",2.801338281009164,139,8.73088744045586,117,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,160.0,200.0,40.0,10,1,1977,1007,970,"(4, 5)","(8, 14)",750.6554408648275,758.4500031789877,7.794562314160203,8.711828556822976,8.711828556822976,1,"(4, 5)","(8, 14)",0.44709364768504506,52,5.873688753448471,72,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,160.0,200.0,40.0,10,2,1977,1007,970,"(0, 9);(4, 5)","(28, 24);(8, 14)",750.6080671189785,761.851560773418,11.243493654439476,8.732395165884094,8.732395165884094,2,"(0, 9)","(28, 24)",1.3442245094057557,60,6.146708146950209,66,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
PVC-11 monkey2,160.0,200.0,40.0,10,3,1977,1007,970,"(0, 9);(2, 3);(4, 5)","(28, 24);(62, 74);(8, 14)",750.4667231259534,763.7028501093017,13.2361269833483,5.840365752204313,5.840365752204313,3,"(0, 9)","(28, 24)",1.4270347844248639,60,6.146708146950209,66,False,continuous spike-time,data\raw\crcns_pvc-11\data_and_scripts\spikes_spontaneous\spiketimesmonkey2spont.mat,spontaneous,2
