t,s_rel,lambda_pairwise,lambda_with_hyperedge,lambda_gain
0.0,-2.15,0.4,0.4,0.0
0.012024048096192385,-2.1379759519038077,0.4,0.4,0.0
0.02404809619238477,-2.125951903807615,0.4,0.4,0.0
0.036072144288577156,-2.113927855711423,0.4,0.4,0.0
0.04809619238476954,-2.1019038076152303,0.4,0.4,0.0
0.06012024048096192,-2.089879759519038,0.4,0.4,0.0
0.07214428857715431,-2.0778557114228455,0.4,0.4,0.0
0.0841683366733467,-2.0658316633266534,0.4,0.4,0.0
0.09619238476953908,-2.0538076152304607,0.4,0.4,0.0
0.10821643286573146,-2.0417835671342686,0.4,0.4,0.0
0.12024048096192384,-2.029759519038076,0.4,0.4,0.0
0.13226452905811623,-2.0177354709418838,0.4,0.4,0.0
0.14428857715430862,-2.005711422845691,0.4,0.4,0.0
0.156312625250501,-1.993687374749499,0.4,0.4,0.0
0.1683366733466934,-1.9816633266533066,0.4,0.4,0.0
0.18036072144288576,-1.9696392785571142,0.4,0.4,0.0
0.19238476953907815,-1.9576152304609218,0.4,0.4,0.0
0.20440881763527055,-1.9455911823647294,0.4,0.4,0.0
0.21643286573146292,-1.933567134268537,0.4,0.4,0.0
0.22845691382765532,-1.9215430861723446,0.4,0.4,0.0
0.24048096192384769,-1.9095190380761522,0.4,0.4,0.0
0.25250501002004005,-1.8974949899799598,0.4,0.4,0.0
0.26452905811623245,-1.8854709418837674,0.4,0.4,0.0
0.27655310621242485,-1.873446893787575,0.4,0.4,0.0
0.28857715430861725,-1.8614228456913826,0.4,0.4,0.0
0.30060120240480964,-1.8493987975951902,0.4,0.4,0.0
0.312625250501002,-1.837374749498998,0.4,0.4,0.0
0.3246492985971944,-1.8253507014028054,0.4,0.4,0.0
0.3366733466933868,-1.8133266533066132,0.4,0.4,0.0
0.3486973947895792,-1.8013026052104206,0.4,0.4,0.0
0.3607214428857715,-1.7892785571142285,0.4,0.4,0.0
0.3727454909819639,-1.777254509018036,0.4,0.4,0.0
0.3847695390781563,-1.7652304609218437,0.4,0.4,0.0
0.3967935871743487,-1.7532064128256513,0.4,0.4,0.0
0.4088176352705411,-1.7411823647294589,0.4,0.4,0.0
0.42084168336673344,-1.7291583166332665,0.4,0.4,0.0
0.43286573146292584,-1.717134268537074,0.4,0.4,0.0
0.44488977955911824,-1.7051102204408817,0.4,0.4,0.0
0.45691382765531063,-1.6930861723446893,0.4,0.4,0.0
0.468937875751503,-1.6810621242484969,0.4,0.4,0.0
0.48096192384769537,-1.6690380761523045,0.4,0.4,0.0
0.49298597194388777,-1.657014028056112,0.4,0.4,0.0
0.5050100200400801,-1.6449899799599197,0.4,0.4,0.0
0.5170340681362725,-1.6329659318637275,0.4,0.4,0.0
0.5290581162324649,-1.620941883767535,0.4,0.4,0.0
0.5410821643286573,-1.6089178356713427,0.4,0.4,0.0
0.5531062124248497,-1.59689378757515,0.4,0.4,0.0
0.5651302605210421,-1.584869739478958,0.4,0.4,0.0
0.5771543086172345,-1.5728456913827653,0.4,0.4,0.0
0.5891783567134269,-1.5608216432865731,0.4,0.4,0.0
0.6012024048096193,-1.5487975951903805,0.4,0.4,0.0
0.6132264529058116,-1.5367735470941883,0.4,0.4,0.0
0.625250501002004,-1.524749498997996,0.4,0.4,0.0
0.6372745490981964,-1.5127254509018035,0.4,0.4,0.0
0.6492985971943888,-1.5007014028056112,0.4,0.4,0.0
0.6613226452905812,-1.4886773547094188,0.4,0.4,0.0
0.6733466933867736,-1.4766533066132264,0.4,0.4,0.0
0.685370741482966,-1.464629258517034,0.4,0.4,0.0
0.6973947895791583,-1.4526052104208416,0.4,0.4,0.0
0.7094188376753507,-1.4405811623246492,0.4,0.4,0.0
0.721442885771543,-1.428557114228457,0.4,0.4,0.0
